intersection_name,city_name,synchro_INTID,file_name,intersection_id,coord_x,coord_y
College & McKellips," Bullhead City, AZ",2,,0,-111.93520998206698,33.45110998184006
Scottsdale Road & McKellips," Bullhead City, AZ",3,,1,-111.9264600295231,33.45123998515831
Priest Drive & Center Pkwy," Bullhead City, AZ",5,,2,-114.574062621234,35.12705114472226
Priest Drive & 202 EB," Bullhead City, AZ",6,,3,-114.57717999999994,35.12679000000003
Scottsdale Road & Weber Drive," Bullhead City, AZ",7,,4,-111.92643002230973,33.4439900160972
Mill Avenue & Washington St & Curry Rd," Bullhead City, AZ",8,,5,,
College & Curry Rd," Bullhead City, AZ",9,,6,-114.58335994063093,35.02290001372941
Scottsdale Road & Curry Rd," Bullhead City, AZ",10,,7,-114.57717999999994,35.12679000000003
Miller & Curry Rd," Bullhead City, AZ",11,,8,,
McClintock Drive & Curry Rd," Bullhead City, AZ",12,,9,-114.57717999999994,35.12679000000003
Priest Drive & Rio Salado Parkway," Bullhead City, AZ",13,,10,-111.96097000127703,33.42961999747419
Hardy & Rio Salado Parkway," Bullhead City, AZ",14,,11,-111.95240000819433,33.43099999401299
Ash Street & Rio Salado Parkway," Bullhead City, AZ",16,,12,-114.57717999999994,35.12679000000003
Scottsdale Road & 202," Bullhead City, AZ",17,,13,-111.92051999999995,33.49400000000003
Rural Road & Scottsdale Road & Rio Salado Parkway," Bullhead City, AZ",18,,14,,
McClintock Drive & 202," Bullhead City, AZ",19,,15,-114.57717999999994,35.12679000000003
McClintock Drive & Rio Salado Parkway," Bullhead City, AZ",20,,16,-111.90907998565076,33.42932000915954
Packard Dr & Rio Salado Parkway," Bullhead City, AZ",21,,17,-111.92929001149223,33.42866999256829
Price Freeway SB & Rio Salado Parkway," Bullhead City, AZ",22,,18,-111.89026998909668,33.42929000194617
Ash Street & 5th Street," Bullhead City, AZ",23,,19,,
Priest Drive & 5th Street," Bullhead City, AZ",24,,20,-114.56502938808681,35.149598197414804
Beck & University Drive," Bullhead City, AZ",25,,21,-111.95647000891924,33.42192000403158
Mill Avenue & 5th Street," Bullhead City, AZ",27,,22,-114.56502938808681,35.149598197414804
Mill Avenue & 4th Street," Bullhead City, AZ",28,,23,-114.56974884166607,35.14785224689785
Mill Avenue & Rio Salado Parkway," Bullhead City, AZ",29,,24,-111.93996998106128,33.429580015796034
Mill Avenue & 6th Street," Bullhead City, AZ",30,,25,-114.56482514889137,35.151430002949866
Mill Avenue & 7th Street," Bullhead City, AZ",31,,26,-114.56573518056702,35.1529131577646
Rural Road & 6th Street," Bullhead City, AZ",33,,27,-114.56482514889137,35.151430002949866
Lindon & University Drive," Bullhead City, AZ",34,,28,-114.5273143869309,35.18985456150432
52nd Street & University Drive," Bullhead City, AZ",35,,29,-111.9695700015731,33.421939994870655
Priest Drive & University Drive," Bullhead City, AZ",36,,30,-111.96091996131507,33.421939994870655
Perry Lane & Rio Salado Parkway," Bullhead City, AZ",37,,31,-111.90477001103795,33.42919000584129
Hardy & University Drive," Bullhead City, AZ",38,,32,-111.95219004151978,33.42190001319251
Roosevelt & University Drive," Bullhead City, AZ",39,,33,-111.94725997371006,33.42188999681821
Farmer & University Drive," Bullhead City, AZ",40,,34,-111.94423997399595,33.42188999681821
Ash Street & University Drive," Bullhead City, AZ",41,,35,-114.57717999999994,35.12679000000003
McClintock Drive & Tempe Marketplace," Bullhead City, AZ",42,,36,-111.90929003614434,33.43208000223714
Mill Avenue & University Drive," Bullhead City, AZ",43,,37,-111.94000996273942,33.42192000403158
Myrtle Avenue & University Drive," Bullhead City, AZ",44,,38,-111.93813996014099,33.421950011244945
Forest & University Drive," Bullhead City, AZ",45,,39,,
College Avenue & University Drive," Bullhead City, AZ",46,,40,-111.93500001539243,33.421950011244945
Van Ness & University Drive," Bullhead City, AZ",47,,41,-114.57717999999994,35.12679000000003
Packard Dr & 6th Street," Bullhead City, AZ",48,,42,-114.56482514889137,35.151430002949866
Rural Road & University Drive," Bullhead City, AZ",49,,43,-111.92630001899148,33.422009983762166
Dorsey Lane & University Drive," Bullhead City, AZ",50,,44,-111.91764997873346,33.422009983762166
McClintock Drive & University Drive," Bullhead City, AZ",51,,45,-111.90910001839934,33.4219899929231
Normal Ave & Apache Boulevard," Bullhead City, AZ",52,,46,-114.60565228902065,35.09101020420399
Smith Rd & University Drive," Bullhead City, AZ",53,,47,-111.90050001810329,33.42210000540227
Paseo Del Saber & Apache Boulevard," Bullhead City, AZ",54,,48,-114.60565228902065,35.09101020420399
Price Freeway SB & University Drive," Bullhead City, AZ",55,,49,-111.89107004175479,33.42190998765729
Hayden Ferry & Rio Salado Parkway," Bullhead City, AZ",56,,50,-114.57717999999994,35.12679000000003
Evergreen Road & University Drive," Bullhead City, AZ",57,,51,-111.8829799964479,33.42213001261564
MH West & Rio Salado Parkway," Bullhead City, AZ",58,,52,-114.57717999999994,35.12679000000003
MH East & Rio Salado Parkway," Bullhead City, AZ",59,,53,-114.57717999999994,35.12679000000003
Mill Avenue & 10th Street," Bullhead City, AZ",60,,54,-111.93999998827465,33.41904999847479
Smith Rd & Rio Salado Parkway," Bullhead City, AZ",61,,55,-111.90044997814132,33.429229987519435
McAllister Avenue & Terrace Road," Bullhead City, AZ",62,,56,-114.63421506350751,35.10842437892324
Rural Road & Terrace Road," Bullhead City, AZ",63,,57,-114.62210160835329,35.1186642319836
Rural Road & Lemon Street," Bullhead City, AZ",64,,58,-111.92628996070768,33.416819993134965
Ped Crossing & McAllister Avenue," Bullhead City, AZ",65,,59,-114.63421506350751,35.10842437892324
McClintock Drive & Don Carlos Rd," Bullhead City, AZ",66,,60,-111.90910999286413,33.417459993351926
52nd Street & 14th Street," Bullhead City, AZ",67,,61,-111.96950998714637,33.413569993997726
Priest Drive & 14th Street," Bullhead City, AZ",68,,62,-111.96080999074542,33.41315001873912
Priest Drive & 13th Street," Bullhead City, AZ",69,,63,-111.960830023494,33.414680009435244
Hardy & 13th Street," Bullhead City, AZ",70,,64,-111.9521700087712,33.414650002221876
Apache Boulevard & Mill Avenue," Bullhead City, AZ",72,,65,-114.60565228902065,35.09101020420399
Forest & Apache Boulevard," Bullhead City, AZ",73,,66,-114.60565228902065,35.09101020420399
College Avenue & Apache Boulevard," Bullhead City, AZ",74,,67,-114.60565228902065,35.09101020420399
McAllister Avenue & Apache Boulevard," Bullhead City, AZ",75,,68,-114.60565228902065,35.09101020420399
Rural Road & Apache Boulevard," Bullhead City, AZ",76,,69,-114.60565228902065,35.09101020420399
52nd Street & Broadway Road," Bullhead City, AZ",80,,70,-111.96582999637621,33.4075299945695
Rural Road & Spence Ave," Bullhead City, AZ",82,,71,-111.92627998624289,33.412860004889254
48th Street & Broadway Road," Bullhead City, AZ",83,,72,-111.72771999227243,33.40833997978285
48th Street & Broadway Frontage," Bullhead City, AZ",84,,73,-114.57717999999994,35.12679000000003
Old 52nd & Broadway Road," Bullhead City, AZ",85,,74,,
Priest Drive & Broadway Road," Bullhead City, AZ",86,,75,-111.96077000906728,33.40742999846462
Industrial Park Avenue & Beck Avenue & Broadway Road," Bullhead City, AZ",87,,76,,
