RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,PED,HOLD
Up Node,39,75,75,75,106,106,106,73,73,73,74,74,74,,
Dest Node,39,73,106,74,74,75,73,106,74,75,75,73,106,,
Lanes,39,1,2,0,1,2,0,1,1,0,1,1,0,,
Shared,39,0,2,,0,2,,0,2,,0,2,,,
Width,39,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,39,,,,,,,,,,,,,,
Taper,39,,,,,,,,,,,,,,
StLanes,39,,,,,,,,,,,,,,
Grade,39,,,,,,,,,,,,,,
Speed,39,,45,,,45,,,45,,,45,,,
Phase1,39,5,2,,1,6,,3,8,,7,4,,,
LostTime,39,6,5.3,4,6,5.3,4,6,5.1,4,5.9,5.9,4,,
Lost Time Adjust,39,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,39,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,39,1770,3518,0,1770,3532,0,1770,1712,0,1770,1669,0,,
SatFlowPerm,39,1770,3518,0,1770,3532,0,1770,1712,0,1770,1669,0,,
Allow RTOR,39,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,39,0,5,0,0,2,0,0,77,0,0,147,0,,
Volume,39,181,7732,300,214,4961,58,182,122,143,580,140,315,,
Peds,39,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,39,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,39,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,39,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,39,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,39,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,39,,0,,,0,,,0,,,0,,,
Distance,39,,2985,,,99,,,218,,,282,,,
TravelTime,39,,45.2,,,1.5,,,3.3,,,4.3,,,
Right Channeled,39,,,0,,,0,,,0,,,0,,
Alignment,39,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,39,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,39,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
